"field_1","X","Y","fid","Camr_Nm","Long","Lat","Min.Temp..C.","Min.Temp..C..1","Month"
1,101.431105802098,5.47139561692128,1,"PU01C",382576,605346,22,28.5,11
2,101.442332628466,5.4747569178575,2,"PU01D",383821,605714,22,28.5,11
3,101.449342966065,5.46938702958229,4,"PU02C",384596,605118,22,28.5,11
4,101.478902344886,5.47839930345854,5,"PU03B",387874,606105,20,26.5,11
5,101.46639015651,5.46998826200832,6,"PU03C",386485,605179,20,26.5,11
6,101.496229734482,5.48212981315313,7,"PU04B",389795,606512,20,26.5,11
7,101.494507940216,5.4750251813942,8,"PU04D",389602,605727,20,26.5,11
8,101.503442149457,5.47216542772289,9,"PU05C",390591,605408,19,26,11
9,101.511135670016,5.47720671848821,10,"PU05D",391445,605963,19,26,11
10,101.520891570896,5.48389069418798,11,"PU06B",392528,606699,19,26,11
11,101.530549773562,5.47056841100039,12,"PU06D",393594,605223,19,26,11
12,101.551356090482,5.48266391411597,13,"PU07B",395903,606554,19,26,11
13,101.535522395454,5.47069078561015,14,"PU07C",394145,605235,19,26,11
14,101.439160183598,5.46086462776946,15,"PU08B",383465,604179,22,28.5,11
15,101.431291726994,5.45418486650015,16,"PU08C",382591,603443,22,29,11
16,101.451332045306,5.46196747552442,17,"PU09A",384814,604297,22,28.5,11
17,101.447452350452,5.45846505144756,18,"PU09C",384383,603911,22,28.5,11
18,101.474709576356,5.46123027628956,19,"PU10B",387404,604208,20,26.5,11
19,101.477264382047,5.45784602320549,20,"PU10D",387686,603833,21,28,11
20,101.480814109057,5.463174249552,21,"PU11A",388081,604421,20,26.5,11
21,101.496835072166,5.45640063058315,22,"PU11D",389854,603667,21,28,11
22,101.509117948918,5.46294729696925,23,"PU12B",391217,604387,19,26,11
23,101.511285799761,5.4558808081456,24,"PU12D",391455,603605,19,25.5,11
24,101.529183709955,5.46523754755047,25,"PU13B",393441,604634,19,26,11
25,101.521054355369,5.45467826255224,26,"PU13C",392537,603469,19,25.5,11
26,101.541654799318,5.46589627640079,27,"PU14A",394823,604703,19,26,11
27,101.547003041852,5.46069255358252,28,"PU14B",395414,604126,19,26,11
28,101.452599713842,5.43878160013519,29,"PU15C",384947,601733,22,29,11
29,101.460444482071,5.44117403174659,30,"PU15D",385817,601995,21,28,11
30,101.467222883254,5.44407880268859,31,"PU16A",386569,602314,21,28,11
31,101.464774963964,5.43543441641788,32,"PU16C",386295,601359,21,28,11
32,101.485143066615,5.43895704030099,34,"PU17C",388553,601742,21,28,11
33,101.505064617594,5.44408760103665,35,"PU18A",390762,602303,19,25.5,11
34,101.528800140547,5.44413625581908,37,"PU19B",393392,602301,19,25.5,11
35,101.522412615502,5.43690106442835,38,"PU19C",392682,601503,19,25.5,11
36,101.545409719163,5.44608171339567,39,"PU20B",395233,602511,18,25,11
37,101.536490309908,5.44054903094512,40,"PU20C",394243,601902,19,25.5,11
38,101.459802850544,5.42586920929039,41,"PU21B",385741,600303,21,28,11
39,101.456587511792,5.42051467218057,42,"PU21D",385383,599712,22,29,11
40,101.463892698484,5.42217291177355,43,"PU22C",386193,599893,21,28,11
41,101.479343141933,5.41579605288592,44,"PU22D",387903,599183,21.5,28,11
42,101.497049823352,5.42837303539665,45,"PU23B",389869,600568,21,28,11
43,101.492143509371,5.41455746735437,46,"PU23D",389321,599042,21.5,28,11
44,101.503237866485,5.42941261339524,47,"PU24A",390555,600681,19,25.5,11
45,101.50411496377,5.42241482508315,48,"PU24C",390650,599907,19,25.5,11
46,101.524828803271,5.42160493514723,50,"PU25C",392945,599811,19,25.5,11
47,101.542750545306,5.42529971135474,51,"PU26A",394932,600214,18,25,11
48,101.564573437755,5.42484430025634,53,"PU27B",397350,600157,18,25,11
49,101.557741014304,5.4218228714614,54,"PU27C",396592,599825,18,25,11
50,101.411684994707,5.40693341810101,55,"PU28A",380403,598225,22,29,11
51,101.413090623576,5.4046313033257,56,"PU28C",380558,597970,22,29,11
52,101.426776929416,5.40897706403181,57,"PU29A",382076,598446,22,29,11
53,101.446514946308,5.40539029809732,59,"PU30A",384262,598043,22,29,11
54,101.457998329381,5.4007931185119,60,"PU30D",385533,597531,22,29,11
55,101.474277867444,5.41037297684616,61,"PU31B",387340,598585,21.5,28,11
56,101.475204985947,5.40177450766483,62,"PU31D",387440,597634,21.5,28,11
57,101.487993372215,5.41098215530998,63,"PU32A",388860,598648,21.5,28,11
58,101.494297492615,5.40603483672446,64,"PU32B",389557,598099,21.5,28,11
59,101.502477106587,5.40160830720841,65,"PU33C",390462,597607,20,27,11
60,101.512044579227,5.40102037489169,66,"PU33D",391522,597539,20,27,11
61,101.415310150461,5.38957908006843,67,"PU34A",380799,596305,22,29,11
62,101.419985279453,5.38023208456566,68,"PU34D",381314,595270,22,29,11
63,101.433517876151,5.39373013683976,69,"PU35A",382818,596758,22,29,11
64,101.43673204262,5.38089664055199,70,"PU35D",383170,595338,22,29,11
65,101.44576993805,5.37925902968502,71,"PU36C",384171,595154,22,29,11
66,101.455774577802,5.38031027596295,72,"PU36D",385280,595267,22,29,11
67,101.465559946457,5.38856001265173,73,"PU37A",386367,596176,21.5,28,11
68,101.478195023115,5.38498781611487,74,"PU37D",387766,595777,21.5,28,11
69,101.491052566881,5.39515431967816,75,"PU38B",389194,596897,21.5,28,11
70,101.484202030582,5.37974127885234,76,"PU38C",388430,595195,21.5,28,11
71,101.510752514426,5.38554192651761,78,"PU39D",391374,595828,20,27,11
