"field_1","X","Y","fid","Camr_Nm","Long","Lat","Min.Temp..C.","Min.Temp..C..1","Month"
141,101.427052470711,5.34916757903103,153,"TU44C",382087,591833,20,26.5,1
142,101.454211813479,5.34357661187269,154,"TU45D",385095,591206,20,26.5,1
143,101.498003265345,5.34668751785105,155,"TU47D",389949,591536,18.5,25.5,1
144,101.436375838698,5.33004818915696,156,"TU48D",383114,589716,19,26.5,1
145,101.475588344007,5.33109411186947,157,"TU50D",387460,589819,17,24.5,1
146,101.454446465609,5.30939861829837,158,"TU53D",385110,587427,19,26.5,1
147,101.469941272976,5.2929738511833,159,"TU58C",386822,585606,17,24.5,1
148,101.459341780467,5.27660889786554,160,"TU61A",385642,583800,16.5,23.5,1
149,101.498660215427,5.27095189655116,161,"TU63D",389998,583162,16.5,23.5,1
150,101.474245214755,5.26785194242519,162,"TU66B",387291,582827,16.5,23.5,1
151,101.497495370852,5.23633567558979,163,"TU69D",389858,579335,17,24.5,1
152,101.397404409559,5.38711968463091,164,"TU71A",378814,596039,21,28.5,1
153,101.419377156449,5.37531919174657,165,"TU72B",381245,594727,21,28.5,1
154,101.405014342929,5.35299100144348,166,"TU73B",379646,592263,21.5,28.5,1
155,101.406702868312,5.32235369227524,167,"TU74B",379823,588875,21.5,28.5,1
156,101.402639948347,5.29901601002598,168,"TU75B",379365,586296,21.5,28.5,1
157,101.412859419026,5.27591102308761,169,"TU76A",380490,583738,21.5,28.5,1
158,101.436788031219,5.24800767956158,170,"TU77B",383133,580645,19,26.5,1
159,101.452294534228,5.23341936464059,171,"TU78A",384847,579027,19,26.5,1
160,101.419137947066,5.29763631354428,172,"TU79B",381193,586138,19,26.5,1
161,101.49931163451,5.29258790666905,173,"TU80C",390077,585554,17,24.5,1
162,101.499963734784,5.31719043593041,174,"TU81A",390157,588274,17,24.5,1
163,101.417457744115,5.41401424394526,175,"TU82D",381045,599006,21,28.5,1
164,101.44657096363,5.82479547566649,176,"PB015A",384403,644416,21,27.5,1
165,101.465635802264,5.82757253621976,178,"PB016A",386515,644717,21,27.5,1
166,101.472395209731,5.82282567003458,179,"PB016B",387262,644190,21,27.5,1
167,101.445118035118,5.80255211780438,180,"PB027C",384235,641957,21,27.5,1
168,101.46034513831,5.80186347562455,181,"PB027D",385921,641876,21,27.5,1
169,101.46793164103,5.80149632169825,182,"PB028C",386761,641833,21,27.5,1
170,101.4723232847,5.80046880421315,183,"PB028D",387247,641718,21,27.5,1
171,101.490174400899,5.80750136659625,184,"PB029B",389226,642490,21,27.5,1
172,101.487188431525,5.79679394218685,185,"PB029C",388892,641307,21,27.5,1
173,101.509341738096,5.80572825175243,186,"PB030B",391348,642288,21,27.5,1
174,101.514876441885,5.80278629977049,187,"PB030D",391960,641961,21,27.5,1
175,101.526282532143,5.80903105955482,188,"PB031B",393225,642648,21,27.5,1
176,101.51901471472,5.79538177519583,189,"PB031C",392416,641141,21,27.5,1
177,101.546802306342,5.81130308940607,190,"PB032B",395498,642893,20,26.5,1
178,101.548130763503,5.80096051242757,191,"PB032D",395642,641749,20,26.5,1
179,101.565929077925,5.80439114163171,192,"PB033B",397614,642123,20,26.5,1
180,101.56461037272,5.80114084088926,193,"PB033D",397467,641764,20,26.5,1
181,101.575679645216,5.80178557288181,194,"PB034C",398693,641832,20,26.5,1
182,101.582372364073,5.79787843267688,195,"PB034D",399433,641398,20,26.5,1
183,101.597940640391,5.80802170952744,196,"PB035B",401160,642515,20.5,27.5,1
184,101.594343785872,5.79882367640279,197,"PB035C",400759,641499,20.5,27.5,1
185,101.449746021126,5.78533668980095,198,"PB039A",384742,640052,21,27.5,1
186,101.460194587875,5.78821566652858,199,"PB039B",385900,640367,19.5,26.5,1
187,101.467932755888,5.79160221331524,200,"PB040A",386758,640739,19.5,26.5,1
188,101.472364462304,5.7764661941724,201,"PB040D",387244,639064,19.5,26.5,1
189,101.487643038862,5.79249030273468,202,"PB041A",388941,640831,21,27.5,1
190,101.484205752504,5.77857094657796,203,"PB041C",388556,639293,19.5,26.5,1
191,101.507102247741,5.78950622759173,204,"PB042B",391095,640495,20,26.5,1
192,101.500799407322,5.77976632838719,205,"PB042C",390394,639420,20,26.5,1
193,101.529808574602,5.79106149548906,206,"PB043B",393610,640660,20,26.5,1
194,101.525591704341,5.77789094123215,207,"PB043D",393139,639205,20,26.5,1
195,101.545677133212,5.78673681982714,208,"PB044B",395366,640177,19,25.5,1
196,101.536376540309,5.78332892904935,209,"PB044C",394335,639803,20,26.5,1
197,101.5611487508,5.77882928416806,211,"PB045D",397077,639298,19,25.5,1
198,101.571781606367,5.78380496000205,213,"PB046C",398256,639845,19,25.5,1
199,101.592859423336,5.79328491737712,214,"PB047A",400593,640887,20.5,27.5,1
200,101.604067847113,5.78901870720579,215,"PB047B",401833,640412,19.5,26.5,1
201,101.465645294109,5.76730348775007,216,"PB052A",386497,638053,19.5,26.5,1
202,101.476017996375,5.75865088685239,217,"PB052D",387643,637093,19.5,26.5,1
203,101.485501830369,5.76727868152907,218,"PB053A",388696,638044,19.5,26.5,1
204,101.491850091774,5.76073974326488,219,"PB053D",389397,637319,19.5,26.5,1
205,101.501968502896,5.7717928314722,220,"PB054A",390521,638538,20,26.5,1
206,101.497395469813,5.76676057874892,221,"PB054C",390013,637983,19.5,26.5,1
207,101.519252118088,5.76832296892717,222,"PB055A",392434,638149,20,26.5,1
208,101.516936876349,5.75986043194772,223,"PB055C",392175,637214,20,26.5,1
209,101.543776302114,5.76852622398014,224,"PB056B",395150,638164,19,25.5,1
210,101.548765923374,5.75996621253543,225,"PB056D",395700,637216,19,25.5,1
211,101.55742062931,5.76836443168822,226,"PB057A",396661,638142,19,25.5,1
212,101.563537185192,5.76373242770523,227,"PB057D",397337,637628,19,25.5,1
213,101.577973641506,5.76782294732478,228,"PB058A",398937,638076,19,25.5,1
214,101.573275128561,5.76560363113895,229,"PB058C",398416,637832,19,25.5,1
215,101.598360811473,5.76850124733423,230,"PB059B",401195,638145,19.5,26.5,1
216,101.590658563934,5.75826124279171,231,"PB059C",400339,637015,19.5,26.5,1
217,101.47630709045,5.74906505568025,232,"PB064B",387672,636033,20.5,27.5,1
218,101.467969169348,5.74719624663274,233,"PB064C",386748,635829,20.5,27.5,1
219,101.49274009164,5.74930160004175,234,"PB065B",389492,636054,20.5,27.5,1
220,101.491422269512,5.74592446398454,235,"PB065D",389345,635681,20.5,27.5,1
221,101.504992347506,5.75279991325283,236,"PB066A",390850,636437,20,26.5,1
222,101.508967800725,5.75191568660984,237,"PB066B",391290,636338,20,26.5,1
223,101.515555838897,5.75642892450991,238,"PB067A",392021,636835,20,26.5,1
224,101.527156874724,5.7440347053391,239,"PB067D",393302,635461,19.5,26.5,1
225,101.536489955347,5.7551121669921,240,"PB068A",394339,636683,20,26.5,1
226,101.533645796247,5.74848416364303,241,"PB068C",394022,635951,19.5,26.5,1
227,101.557457428021,5.75476247757412,242,"PB069A",396661,636638,19,25.5,1
228,101.567970456839,5.75711521246584,243,"PB069B",397826,636895,19,25.5,1
229,101.584973999686,5.75335335273959,244,"PB070B",399708,636474,19.5,26.5,1
230,101.578576307619,5.74840731189678,245,"PB070C",398998,635929,20,26.5,1
231,101.592979199032,5.75483073399263,246,"PB071A",400595,636635,19.5,26.5,1
232,101.59484636896,5.74873106671334,247,"PB071C",400800,635960,19,26.5,1
233,101.45626909429,5.7307567083747,248,"PB075B",385447,634015,21,27.5,1
234,101.445404394102,5.72538925126204,249,"PB075C",384242,633425,21,27.5,1
235,101.467958572514,5.7382607108419,250,"PB076A",386744,634841,20.5,27.5,1
236,101.474564798848,5.72671228242589,251,"PB076D",387472,633562,20.5,27.5,1
237,101.491379565896,5.73544233240917,252,"PB077B",389337,634522,20.5,27.5,1
238,101.479631989834,5.72606651829748,253,"PB077C",388033,633489,20.5,27.5,1
239,101.508263759728,5.73563453157752,254,"PB078B",391207,634538,19.5,26.5,1
240,101.52431593304,5.73956815818893,256,"PB079A",392986,634968,19.5,26.5,1
241,101.52582237525,5.73682296188361,257,"PB079B",393152,634664,19.5,26.5,1
242,101.538225246991,5.73474089586089,258,"PB080A",394525,634430,19.5,26.5,1
243,101.538577985432,5.72793175321932,259,"PB080C",394562,633677,19.5,26.5,1
244,101.565358180836,5.73132391758132,260,"PB081B",397529,634044,20,26.5,1
245,101.55216834631,5.73068215432812,261,"PB081C",396068,633977,20,26.5,1
246,101.572174252308,5.73166789592869,262,"PB082A",398284,634080,20,26.5,1
247,101.584555620432,5.73414297481158,263,"PB082B",399656,634350,19,26.5,1
248,101.597347778936,5.73495480280229,264,"PB083B",401073,634436,19,26.5,1
249,101.595271100313,5.72812114133497,265,"PB083C",400841,633681,19,26.5,1
250,101.44911080412,5.71447476497492,266,"PB087A",384649,632217,21,27.5,1
251,101.450459047839,5.71033648437144,267,"PB087C",384797,631759,21,27.5,1
252,101.466338341052,5.71755423417705,268,"PB088A",386558,632552,20.5,27.5,1
253,101.470973730916,5.71632848740468,269,"PB088B",387071,632415,20.5,27.5,1
254,101.481372263377,5.71734397076391,270,"PB089A",388223,632524,20.5,27.5,1
255,101.489888740878,5.71979194766174,271,"PB089B",389167,632792,20.5,27.5,1
256,101.503855746993,5.7168920218963,272,"PB090A",390713,632467,19.5,26.5,1
257,101.512463662417,5.71246647710304,273,"PB090D",391665,631975,19.5,26.5,1
258,101.524453808547,5.71908390078822,274,"PB091A",392995,632703,19.5,26.5,1
259,101.520837981189,5.71083476683945,275,"PB091C",392592,631792,19.5,26.5,1
