Srvy_Nm,Species,Common,Site,Trail,Camr_Nm,Paired,Latitud,Longitd,X,Y,UTM Zone,Cmr_S_D,Cmr_E_D
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,35,Yes,-5.215998607,-79.1272824,707566,9423151,17,6/10/2016,8/29/2106
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,36,No,-5.216021512,-79.13498465,706712,9423151,17,6/10/2016,7/1/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,37,Yes,-5.217644798,-79.14270929,705855,9422974,17,6/10/2016,10/2/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,38,No,-5.217687278,-79.15097979,704938,9422972,17,6/10/2016,10/2/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,39,Yes,-5.224253876,-79.15786937,704172,9422248,17,6/10/2016,10/2/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,40,Yes,-5.226599344,-79.12551924,707758,9421978,17,6/10/2016,8/27/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,41,No,-5.234688909,-79.11855027,708528,9421081,17,6/8/2016,10/3/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,42,Yes,-5.233219297,-79.13506908,706697,9421249,17,6/10/2016,10/2/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,43,Yes,-5.197193611,-79.14937118,705123,9425238,17,6/17/2016,10/9/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,45,No,-5.188079286,-79.16483803,703411,9426251,17,6/17/2016,8/21/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,46,No,-5.1813601,-79.17386723,702412,9426997,17,6/15/2016,10/7/2016
Tabaconas 2016,Tapirus pinchaque,Tapir de montaña,Tabaconas Namballe National Sanctuary,NA,47,Yes,-5.177325863,-79.18592794,701076,9427447,17,6/15/2016,10/7/2016
