"date","lat","lon","hour","species","solar"
2020-08-09,-13.420222,-61.886192,5.25344104850293,"anta",5.24619169501045
2020-07-30,-13.423454,-61.908666,4.96982504505385,"anta",4.96732735171246
2020-08-05,-13.423454,-61.908666,2.96705972839036,"anta",2.89324660096234
2020-08-11,-13.423454,-61.908666,0.506145483078355,"anta",0.472849030513061
2020-08-23,-13.423454,-61.908666,4.7080256572547,"anta",4.68900132916921
2020-08-29,-13.423454,-61.908666,5.23598775598299,"anta",5.22243370776829
2020-09-07,-13.423454,-61.908666,5.2010811709431,"anta",5.1863552113228
2020-08-23,-13.477111,-61.836568,4.93928178314395,"anta",4.92449978791117
2020-08-23,-13.480659,-61.861692,0.772308194007491,"anta",0.733816785754709
2020-09-06,-13.480659,-61.861692,1.16500727570622,"anta",1.13444040912696
2020-08-24,-13.50243,-61.863907,1.99403867040352,"anta",1.92104095244071
2020-08-26,-13.50243,-61.863907,5.34070751110265,"anta",5.32953746929783
2020-09-01,-13.50243,-61.863907,1.55770635740494,"anta",1.50267774194751
2020-09-03,-13.50243,-61.863907,1.26536370769589,"anta",1.2251493158022
2020-08-30,-13.304233,-62.020189,0.737401608967604,"anta",0.707874083538521
2020-08-12,-13.357587,-61.988522,1.62751952748471,"anta",1.52130958082352
2020-08-25,-13.357587,-61.988522,1.45298660228528,"anta",1.38343077710315
2020-08-26,-13.357587,-61.988522,5.32761754171269,"anta",5.31465901868609
2020-09-02,-13.373448,-61.952899,4.47676953136546,"anta",4.45234186557666
2020-08-30,-13.368613,-61.902123,1.82823239146406,"anta",1.76731178125497
2020-08-29,-13.277738,-62.072257,1.58388629618485,"anta",1.51709210223905
2020-09-08,-13.277738,-62.072257,5.64177680707167,"anta",5.631733593147
2020-08-08,-13.097769,-61.518375,4.9567350756639,"anta",4.95205145655986
2020-08-29,-13.097769,-61.518375,1.14319066005629,"anta",1.10182134921314
2020-09-08,-13.097769,-61.518375,0.0479965544298441,"anta",0.0471131822624236
2020-08-25,-13.186042,-61.25645,5.8163097322711,"anta",5.8137451983432
2020-08-26,-13.186042,-61.25645,0.84648468721725,"anta",0.813891352944251
2020-08-31,-13.186042,-61.25645,0.0479965544298441,"anta",0.0465442029130211
2020-08-31,-13.186042,-61.25645,4.86510528993419,"anta",4.85631949581794
2020-08-31,-13.186042,-61.25645,6.05192918129034,"anta",6.05049642101907
2020-09-01,-13.186042,-61.25645,0.763581547747519,"anta",0.741808106114348
2020-08-13,-13.143332,-61.371818,6.24391539900971,"anta",6.24376575069342
2020-08-31,-13.208754,-61.739573,6.27009533778963,"anta",6.2699432999286
2020-09-06,-13.208754,-61.739573,1.28281700021583,"anta",1.25118970489759
2020-09-03,-13.121262,-61.45486,0.872664625997165,"anta",0.849117344093822
2020-09-09,-13.121262,-61.45486,1.27845367708585,"anta",1.25818295175206
2020-11-10,-12.394347,-63.458255,1.13010069066633,"anta",1.19698793303549
2020-11-04,-12.29426,-63.315296,4.7080256572547,"anta",4.64344512253005
2020-11-05,-12.29426,-63.315296,0.29234264970905,"anta",0.309160403119485
2020-11-17,-12.29426,-63.315296,6.01265927312047,"anta",5.99614093248405
2020-11-19,-12.29426,-63.315296,5.66795674585158,"anta",5.62859011853445
2020-12-02,-12.29426,-63.315296,0.309795942228993,"anta",0.327617740619156
2020-12-04,-12.29426,-63.315296,0.392699081698724,"anta",0.414681015140183
2020-11-02,-12.346984,-63.313226,0.562868683768171,"anta",0.593969591547828
2020-11-05,-12.346984,-63.313226,5.93848277991071,"anta",5.92248505579853
2020-12-03,-12.346984,-63.313226,2.66162710929135,"anta",2.67244242640082
2020-12-08,-12.346984,-63.313226,0.0392699081698724,"anta",0.041336745441971
2020-11-09,-12.314524,-63.336543,1.98531202414355,"anta",2.04898944200515
2020-11-17,-12.314524,-63.336543,1.27409035395586,"anta",1.35354867427929
2020-10-30,-12.301138,-63.244523,5.71595330028143,"anta",5.69337106036881
2020-11-28,-12.301138,-63.244523,0.0829031394697306,"anta",0.0879565701923563
2020-11-28,-12.301138,-63.244523,2.05948851735331,"anta",2.11455584663897
2020-11-27,-12.317907,-63.236609,1.48789318732517,"anta",1.57858607715398
2020-11-01,-12.335155,-63.239459,5.28834763354282,"anta",5.24699600490578
2020-11-23,-12.335155,-63.239459,4.97855169131382,"anta",4.88806247423239
2020-10-30,-12.286028,-63.233666,3.60410490536829,"anta",3.59371932003698
2020-11-08,-12.286028,-63.233666,1.45734992541527,"anta",1.54550070644981
2020-11-04,-12.318994,-63.360404,0.933751149816966,"anta",0.986308613430802
2020-11-05,-12.318994,-63.360404,1.47480321793521,"anta",1.55895808492711
2020-11-07,-12.318994,-63.360404,1.16064395257623,"anta",1.22849558365495
2020-11-08,-12.318994,-63.360404,0.693768377667746,"anta",0.734722345441425
2020-12-01,-12.318994,-63.360404,4.16261026600648,"anta",4.08221519184138
2020-11-14,-12.556786,-63.439165,1.05592419745657,"anta",1.12100475105976
2020-11-05,-12.539097,-63.448927,4.95237175253391,"anta",4.88749814557798
2020-11-08,-12.539097,-63.448927,0.231256125889249,"anta",0.244859427412146
2020-11-14,-12.568749,-63.232696,5.27089434102288,"anta",5.2131312370521
2020-11-22,-12.568749,-63.232696,6.04320253503036,"anta",6.02667165523861
2020-12-03,-12.568749,-63.232696,1.25227373830593,"anta",1.3265221297341
2020-12-01,-12.553764,-63.273438,0.733038285837618,"anta",0.777110526335831
2020-11-16,-12.632989,-63.397738,1.03410758180664,"anta",1.09919412268212
