"station","species","date","hour"
"Tabaconas Namballe National Sanctuary 38","Tapirus pinchaque","8/19/2016","1:34:52"
"Tabaconas Namballe National Sanctuary 38","Tapirus pinchaque","9/28/2016","8:55:01"
"Tabaconas Namballe National Sanctuary 38","Tapirus pinchaque","10/1/2016","4:10:27"
"Tabaconas Namballe National Sanctuary 39","Tapirus pinchaque","6/14/2016","3:27:18"
"Tabaconas Namballe National Sanctuary 39","Tapirus pinchaque","6/19/2016","23:52:05"
"Tabaconas Namballe National Sanctuary 39","Tapirus pinchaque","6/23/2016","19:40:53"
"Tabaconas Namballe National Sanctuary 39","Tapirus pinchaque","8/13/2016","21:22:38"
"Tabaconas Namballe National Sanctuary 39","Tapirus pinchaque","9/6/2016","22:00:32"
"Tabaconas Namballe National Sanctuary 39","Tapirus pinchaque","9/8/2016","2:56:26"
"Tabaconas Namballe National Sanctuary 39","Tapirus pinchaque","9/20/2016","21:15:15"
"Tabaconas Namballe National Sanctuary 39","Tapirus pinchaque","9/25/2016","21:31:10"
"Tabaconas Namballe National Sanctuary 39","Tapirus pinchaque","9/30/2016","23:38:48"
"Tabaconas Namballe National Sanctuary 43","Tapirus pinchaque","7/10/2016","22:55:02"
"Tabaconas Namballe National Sanctuary 43","Tapirus pinchaque","9/13/2016","19:43:46"
"Tabaconas Namballe National Sanctuary 48","Tapirus pinchaque","7/18/2016","18:05:56"
"Tabaconas Namballe National Sanctuary 48","Tapirus pinchaque","8/10/2016","6:25:06"
"Tabaconas Namballe National Sanctuary 48","Tapirus pinchaque","9/7/2016","13:19:58"
"Tabaconas Namballe National Sanctuary 48","Tapirus pinchaque","9/22/2016","18:08:50"
"Tabaconas Namballe National Sanctuary 49","Tapirus pinchaque","9/17/2016","6:47:07"
"Tabaconas Namballe National Sanctuary 53","Tapirus pinchaque","8/11/2016","1:06:35"
"Tabaconas Namballe National Sanctuary 53","Tapirus pinchaque","8/17/2016","6:20:40"
"Tabaconas Namballe National Sanctuary 53","Tapirus pinchaque","9/3/2016","11:42:08"
"Tabaconas Namballe National Sanctuary 53","Tapirus pinchaque","9/23/2016","2:40:28"
"Tabaconas Namballe National Sanctuary 79","Tapirus pinchaque","9/7/2016","15:58:23"
"Tabaconas Namballe National Sanctuary 87","Tapirus pinchaque","6/15/2016","18:38:35"
"Tabaconas Namballe National Sanctuary 87","Tapirus pinchaque","9/4/2016","1:07:25"
