Dataset,Station,Lat,Long,Elev,HFI,Water,Forest,NPP,d.Road,d.River,EdgeDens,PatchDens,DisjCore,NDVI,Avg Max Temp,Avg Min Temp,MAP
RDSA,RDSA1,-2.43865,-64.66026,63.04704463,1,0,99.61,142,103311.9752,2704.007765,0,1,1,0.194882914,31.8,23.5,279.0833333
RDSA,RDSA2,-2.51364,-64.6325,62.43712575,1,0,99.87,136,95258.3522,3667.181104,0,1,1,0.236441121,31.8,23.5,274.8333333
RDSA,RDSA3,-2.47573,-64.6355,51.12575574,1,0,99.27,142,99406.25093,149.9333807,6.69,1.01,1.01,0.377898842,31.8,23.6,276.5
RDSA,RDSA4,-2.52199,-64.64866,63.00725514,1,0,99.57,136,94193.6532,4222.898508,0,1,1,0.404899448,31.8,23.5,276.6666667
RDSA,RDSA5,-2.52016,-64.60734,62.81895504,1,0,99.71,136,94833.07593,2849.539689,0,1,1,0.292179525,31.8,23.5,273.6666667
RDSA,RDSA6,-2.47828,-64.67484,57.99278846,1,0,82.55,142,98860.49267,1268.053192,35.09,3.02,3.02,0.405196846,31.8,23.6,279.1666667
RDSA,RDSA7,-2.46056,-64.68134,62.76236429,1,0,99.69,142,100793.792,3320.790587,0,1,1,0.277003616,31.8,23.6,280.8333333
RDSA,RDSA8,-2.48598,-64.64894,49.19226119,1,0.18,91.98,142,98163.66798,527.8973485,39.84,0.98,0.98,0.403588235,31.8,23.6,277.4166667
RDSA,RDSA9,-2.49141,-64.6289,62.04326923,1,0,99.75,142,97742.56717,1605.604986,0,1,1,0.36419794,31.8,23.6,275.75
RDSA,RDSA10,-2.52592,-64.6218,61.29539952,1,0,99.79,136,94021.27481,4292.989084,0,1,1,0.298214853,31.8,23.5,274.8333333
RDSA,RDSA11,-2.49269,-64.66358,55.36911942,1,0.5,87.44,142,97325.301,652.4110758,58.27,1.96,1.96,0.387176991,31.8,23.6,277.8333333
RDSA,RDSA12,-2.49039,-64.61526,61.2939759,1,0,99.78,142,98004.63885,1970.73859,0,1,1,0.390464336,31.8,23.5,274.4166667
RDSA,RDSA13,-2.46056,-64.68134,62.76236429,1,0,99.69,142,100793.792,3320.790587,0,1,1,0.277003616,31.8,23.6,280.8333333
RDSA,RDSA14,-2.44516,-64.63439,62.17391304,1,0,99.72,142,102785.3866,1739.693598,0,1,1,0.42248717,31.8,23.5,277.0833333
RDSA,RDSA15,-2.50099,-64.64214,62.42372881,1,0,99.72,136,96563.14286,2199.626827,0,1,1,0.414779752,31.8,23.5,276.6666667
RDSA,RDSA16,-2.47485,-64.62042,48.13763703,1,0,99.81,142,99655.04528,283.1933212,0,1,1,0.384961218,31.8,23.5,274.75
RDSA,RDSA17,-2.44942,-64.64846,60.19059107,1,0,99.73,142,102200.8359,1027.986337,0,1,1,0.382890254,31.8,23.5,278
RDSA,RDSA18,-2.45619,-64.66284,62.18955043,1,0,99.71,142,101360.2442,1906.234887,0,1,1,0.327223837,31.8,23.5,279.1666667
RDSA,RDSA19,-2.50634,-64.61624,62.16826923,1,0,99.69,136,96239.39148,3640.402537,0,1,1,0.404197901,31.8,23.5,274.4166667
RDSA,RDSA20,-2.50333,-64.60247,60.9410349,1,0,99.66,136,96745.88798,3371.19907,0,1,1,0.222813234,31.8,23.5,273.9166667
RDSA,RDSA21,-2.46088,-64.62653,56.86930456,1,0,99.74,142,101128.4454,866.7878897,0,1,1,0.152605996,31.8,23.6,275.5833333
RDSA,RDSA22,-2.50923,-64.65899,58.52962515,1,0,99.68,136,95527.26572,2428.533777,0,1,1,0.40444383,31.8,23.5,277.8333333
RDSA,RDSA23,-2.47167,-64.65794,57.4373494,1,0,99.73,142,99680.34186,1075.86668,0,1,1,0.399535179,31.8,23.6,278.75
RDSA,RDSA24,-2.53512,-64.6375,64.11325301,1,0,99.73,136,92843.62129,4967.851655,0,1,1,0.385495901,31.8,23.5,275.5833333
RDSA,RDSA25,-2.46281,-64.64505,56.57004831,1,0,99.58,142,100749.5577,323.2995604,0,1,1,0.328792959,31.8,23.6,277.3333333
RDSA,RDSA26,-2.43277,-64.64622,63.2322503,1,0,99.68,142,104054.4254,2597.23833,0,1,1,0.38468805,31.8,23.5,277.3333333
RDSA,RDSA27,-2.48358,-64.58757,61.69565217,1,0,99.8,145,99125.81116,757.244721,0,1,1,0.385240495,31.8,23.5,272.4166667
RDSA,RDSA28,-2.43888,-64.61612,57.94711538,1,0,99.88,142,103660.3027,338.2788555,0,1,1,0.201164261,31.8,23.5,274
RDSA,RDSA29,-2.48527,-64.6058,59.69795427,1,0,99.85,142,98684.4166,1366.903061,0,1,1,0.367694914,31.8,23.5,274
RDSA,RDSA30,-2.45346,-64.61049,62.95295537,1,0,99.9,142,102121.5279,943.7956615,0,1,1,0.037867196,31.8,23.5,274.25
RDSA,RDSA31,-2.46825,-64.60694,53.87787183,1,0,99.83,142,100539.5019,340.2914065,0,1,1,0.393192828,31.8,23.5,273.0833333
RDSA,RDSA32,-2.51885,-64.58644,61.00847458,1,0,99.77,147,95281.50875,1052.577904,0,1,1,0.399884254,31.8,23.5,272
RDSA,RDSA33,-2.45004,-64.69112,63.39156627,1,0,99.42,142,101929.4339,3720.615435,0,1,1,0.308842421,31.8,23.5,281.4166667
RDSA,RDSA34,-2.42136,-64.61189,63.73671498,1,0,99.74,142,105635.1955,815.734878,0,1,1,0.328238577,31.8,23.5,274.4166667
RDSA,RDSA35,-2.48155,-64.55707,63.89659367,1,0,99.78,145,99865.73615,1389.731179,0,1,1,0.41214329,31.8,23.5,269.75
RDSA,RDSA36,-2.46154,-64.59065,62.71393939,1,0,99.74,145,101495.7561,1263.57132,0,1,1,0.425623089,31.8,23.5,272.8333333
RDSA,RDSA37,-2.44563,-64.59384,63.89818182,1,0,99.86,145,103195.7989,2770.560326,0,1,1,0.052397497,31.8,23.5,273.3333333
RDSA,RDSA38,-2.5155,-64.56691,55.30917874,1,0,99.58,147,95981.67729,281.6378139,0,1,1,0.377473414,31.8,23.5,270.5833333
RDSA,RDSA39,-2.4871,-64.56777,61.70120482,1,0,99.73,145,99065.35577,601.8933842,0,1,1,0.252206564,31.8,23.5,271.6666667
RDSA,RDSA40,-2.4825,-64.57002,55.3898917,1,0,99.66,145,99528.45009,326.7309209,0,1,1,0.385095865,31.8,23.5,270.75
RDSA,RDSA41,-2.4203,-64.58886,64.03140097,1,0,99.8,145,106043.9707,2144.024561,0,1,1,0.279394001,31.8,23.5,273.25
RDSA,RDSA42,-2.43391,-64.58167,63.1822542,1,0,99.65,145,104656.3727,1950.156823,0,1,1,0.157699451,31.8,23.5,272.3333333
RDSA,RDSA43,-2.42909,-64.59872,63.11380145,1,0,99.72,145,104946.0328,2228.207067,0,1,1,0.230675772,31.8,23.5,273.3333333
RDSA,RDSA44,-2.451,-64.57777,62.78915663,1,0,99.77,145,102844.9598,1003.358684,0,1,1,0.413208812,31.8,23.5,272
RDSA,RDSA45,-2.46391,-64.55849,63.41375151,1,0,99.79,145,101762.6411,1160.738231,0,1,1,0.391922981,31.8,23.5,270.8333333
RDSA,RDSA46,-2.44738,-64.56175,64.49757869,1,0,99.75,145,103508.0527,797.0945619,0,1,1,0.328731984,31.8,23.5,271.1666667
RDSA,RDSA47,-2.46702,-64.57419,61.65180723,1,0,99.87,145,101149.9972,619.0865112,0,1,1,0.328023106,31.8,23.5,271.3333333
RDSA,RDSA48,-2.50104,-64.58652,61.06144578,1,0,99.94,147,97229.78738,1973.24884,0,1,1,0.068206415,31.8,23.5,271.8333333
RDSA,RDSA49,-2.42595,-64.62764,58.04368932,1,0,99.64,142,104964.8223,568.5630812,0,1,1,0.247131988,31.8,23.5,276.5
RDSA,RDSA50,-2.43924,-64.56306,61.66263603,1,0,99.77,145,104374.16,965.4115722,0,1,1,0.31803301,31.8,23.5,271.1666667
RDSA,RDSAEX1,-2.46682,-64.63371,54.42475728,1,0,99.84,142,100404.5904,288.79971,0,1,1,0.089287035,31.8,23.6,276.0833333
RDSA,RDSAEX2,-2.44058,-64.65104,62.1968599,1,0,99.72,142,103157.8891,2046.725281,0,1,1,0.383591592,31.8,23.5,278.4166667
RDSA,RDSAEX3,-2.46171,-64.65413,61.29191797,1,0,99.84,142,100804.6894,995.4157335,0,1,1,0.318016797,31.8,23.6,278.5
RDSA,RDSAEX4,-2.44193,-64.68665,65.27677497,1,0,99.59,142,102836.8826,4027.611023,0,1,1,0.431664318,31.8,23.5,281.1666667
RDSA,RDSAEX5,-2.53518,-64.62457,62.85800971,1,0,99.83,136,92971.23892,4633.946768,0,1,1,0.394403785,31.8,23.5,274.3333333
RDSA,RDSAEX6,-2.50436,-64.62861,63.60822249,1,0,99.83,136,96319.64156,2831.879599,0,1,1,0.35975036,31.8,23.5,275
RDSA,RDSAEX7,-2.51202,-64.64535,63.65898058,1,0,99.74,136,95319.96971,3385.459525,0,1,1,0.372970909,31.8,23.5,276.9166667
RDSA,RDSAEX8,-2.5061,-64.57435,59.47051745,1,0,99.69,147,96875.75096,674.8340959,0,1,1,0.319498599,31.8,23.5,271.25
RDSA,RDSAEX9,-2.45737,-64.59876,63.04750305,1,0,99.88,145,101840.4793,1721.530356,0,1,1,0.431285381,31.8,23.5,273.0833333
RDSA,RDSAEX10,-2.47602,-64.59741,55.87257282,1,0,99.34,145,99812.09043,419.7372875,0,1,1,0.395954072,31.8,23.5,272.8333333
RDSA,RDSAEX11,-2.52329,-64.59693,59.42270531,1,0,99.71,147,94634.94348,1645.828808,0,1,1,0.40688315,31.8,23.5,272.5833333
RDSA,RDSAEX12,-2.44707,-64.61614,56.69036145,1,0,99.79,142,102759.0067,343.0538531,0,1,1,0.156847969,31.8,23.5,274.1666667
RDSA,RDSAEX13,-2.4422,-64.5852,63.37801932,1,0,99.6,145,103695.3474,1873.144015,0,1,1,0.367416501,31.8,23.5,272.8333333
RDSA,RDSAEX14,-2.45762,-64.5695,59.39782346,1,0,99.73,145,102255.8758,214.4503201,0,1,1,0.433490038,31.8,23.5,271.3333333
EES,CTES01,-8.871821,-63.237151,105.2407186,9,0,99.96,141,4801.753028,4179.927492,1.63,0.99,0.99,0.131159618,32.1,20.4,190.5
EES,CTES02,-8.908407,-63.23574,120.4988038,5,0,98.32,138,2650.977907,2528.821608,10.63,0.99,0.99,0.154210597,32.1,20.5,192.25
EES,CTES03,-8.914463,-63.251175,122.5202381,2,0,99.33,138,3807.060795,1384.444678,7.9,0.99,0.99,0.075616404,32.1,20.6,191.9166667
EES,CTES04,-8.938745,-63.233101,100.8569726,5,0.51,97.15,138,1775.508547,902.5806365,11.21,1.02,1.02,0.161900491,32.2,20.5,192.25
EES,CTES05,-8.976985,-63.144899,121.4970131,1,0,99.96,152,8679.627306,2417.309479,0,1,1,0.337982476,32,20.4,194.0833333
EES,CTES06,-8.97645,-63.162421,113.2061979,1,0,99.99,152,8195.389052,2755.213941,0,1,1,0.40039736,32,20.4,193.5833333
EES,CTES07,-8.980315,-63.184287,111.5465394,1,0.09,97.45,152,6865.539674,2036.663027,18.54,0.99,0.99,0.218279272,32,20.4,192.4166667
EES,CTES09,-8.966722,-63.235343,98.2297619,5,4.16,79.75,138,4461.343217,1161.79494,44.52,5.08,3.05,0.213710189,32.2,20.4,191.9166667
EES,CTES11,-8.950726,-63.226699,95.84862932,5,5.29,78.97,138,2472.887716,313.5770525,50.99,1.98,2.97,0.234844595,32.2,20.5,192.75
EES,CTES12,-8.873369,-63.221206,105.5808383,1,0,99.99,141,3165.502533,3020.464794,0,1,1,0.220027044,32.1,20.4,191.5833333
EES,CTES13,-8.891394,-63.217609,107.8502994,2,0,99.98,141,1848.543941,2706.275814,0,1,1,0.258367389,32.1,20.5,192.0833333
EES,CTES14,-8.906545,-63.21944,112.2505967,2,0,99.94,138,1190.734209,3666.71922,0,1,1,0.066761039,32.1,20.5,192.1666667
EES,CTES15,-8.873314,-63.202615,107.7837515,1,0,99.7,141,1381.487416,976.1044385,2.18,0.99,0.99,0.175474584,32,20.4,191.75
EES,CTES16,-8.890116,-63.2023,108.3688623,1,0,99.98,141,496.5668811,1074.498031,0,1,1,0.217670545,32,20.4,192
EES,CTES17,-8.908605,-63.202846,109.2071429,1,0,99.99,138,513.4328616,2518.136038,0,1,1,0.201897025,32,20.4,192.25
EES,CTES20,-8.909532,-63.18387,108.8494624,1,0,89.07,152,2361.896455,1516.233873,28.62,0.99,0.99,0.265988648,32,20.4,192.5833333
EES,CTES21,-8.928518,-63.185726,109.1704682,1,0,99.97,152,3233.581081,2606.573721,0,1,1,0.207257271,32,20.4,192.4166667
EES,CTES22,-8.926767,-63.202693,104.6236559,1,0,99.99,138,1513.374509,2827.207978,0,1,1,0.437912732,32,20.4,192.3333333
