Srvy_Nm,Species,Common,Site,Trail,Camr_Nm,Paired,Latitud,Longitd,X,Y,UTM zone,Cmr_S_D,Cmr_E_D,Date,Time
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU12D,No,5.4558748,101.5112786,778273,603636,,3/2/10,5/13/10,3/29/10,23:07
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU12D,No,5.4558748,101.5112786,778273,603636,,3/2/10,5/13/10,4/22/10,3:43
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU12D,No,5.4558748,101.5112786,778273,603636,,3/2/10,5/13/10,4/24/10,21:49
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU12D,No,5.4558748,101.5112786,778273,603636,,3/2/10,5/13/10,4/25/10,2:05
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Forest trail,PU13B,No,5.4652264,101.5291782,780253,604680,,2/26/10,5/16/10,2/27/10,20:14
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Forest trail,PU13B,No,5.4652264,101.5291782,780253,604680,,2/26/10,5/16/10,5/10/10,20:33
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU13C,No,5.4546703,101.5210511,779357,603508,,1/3/10,2/26/10,1/19/10,21:57
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU14A,No,5.465888,101.5416471,781636,604759,,2/28/10,5/15/10,4/10/10,22:17
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU14A,No,5.465888,101.5416471,781636,604759,,2/28/10,5/15/10,4/13/10,21:16
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU14A,No,5.465888,101.5416471,781636,604759,,2/28/10,5/15/10,4/14/10,7:03
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU14B,No,5.4606835,101.5470023,782232,604185,,1/3/10,2/28/10,1/9/10,20:21
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU14B,No,5.4606835,101.5470023,782232,604185,,1/3/10,2/28/10,1/9/10,21:37
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU14B,No,5.4606835,101.5470023,782232,604185,,1/3/10,2/28/10,1/9/10,23:10
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU14B,No,5.4606835,101.5470023,782232,604185,,1/3/10,2/28/10,1/11/10,5:18
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU14B,No,5.4606835,101.5470023,782232,604185,,1/3/10,2/28/10,1/14/10,4:58
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU14B,No,5.4606835,101.5470023,782232,604185,,1/3/10,2/28/10,1/16/10,4:33
