#Month/Day/Year
"station","species","date","hour"
"PU63C","Tapirus indicus","3/13/10","21:32"
"PU63C","Tapirus indicus","3/25/10","22:56"
"PU64A","Tapirus indicus","1/30/10","8:05"
"PU64A","Tapirus indicus","2/13/10","19:21"
"PU64A","Tapirus indicus","2/27/10","19:47"
"PU64A","Tapirus indicus","3/10/10","18:22"
"PU64A","Tapirus indicus","3/18/10","21:26"
"PU64D","Tapirus indicus","9/28/09","7:04"
"PU64D","Tapirus indicus","12/8/09","8:19"
"PU64D","Tapirus indicus","1/1/10","8:27"
"PU65B","Tapirus indicus","12/29/09","0:00"
"PU65B","Tapirus indicus","1/1/10","5:15"
"PU66B","Tapirus indicus","9/1/09","23:06"
"PU66B","Tapirus indicus","9/10/09","0:08"
"PU66B","Tapirus indicus","9/12/09","6:33"
"PU66B","Tapirus indicus","9/22/09","21:20"
"PU66B","Tapirus indicus","9/26/09","21:10"
"PU66B","Tapirus indicus","10/9/09","20:54"
"PU66B","Tapirus indicus","10/13/09","6:24"
"PU66B","Tapirus indicus","11/2/09","21:26"
"PU66B","Tapirus indicus","11/5/09","21:52"
"PU66B","Tapirus indicus","11/9/09","21:12"
"PU66B","Tapirus indicus","11/11/09","4:30"
"PU66B","Tapirus indicus","11/29/09","18:06"
"PU66B","Tapirus indicus","12/26/09","20:43"
"PU66B","Tapirus indicus","1/1/10","0:05"
"PU66B","Tapirus indicus","1/3/10","1:31"
"PU66B","Tapirus indicus","1/4/10","18:55"
"PU67A","Tapirus indicus","1/24/10","21:58"
"PU67B","Tapirus indicus","11/13/09","19:27"
"PU67B","Tapirus indicus","11/26/09","19:23"
"PU67B","Tapirus indicus","11/28/09","8:12"
"PU68A","Tapirus indicus","10/26/09","19:14"
"PU68A","Tapirus indicus","11/28/09","6:16"
"PU68A","Tapirus indicus","12/10/09","7:49"
"PU68A","Tapirus indicus","12/14/09","21:07"
"PU68B","Tapirus indicus","1/22/10","0:24"
"PU68B","Tapirus indicus","1/23/10","19:16"
"PU68B","Tapirus indicus","2/8/10","23:28"
"PU68B","Tapirus indicus","2/15/10","20:20"
"PU68B","Tapirus indicus","3/3/10","1:28"
"PU68B","Tapirus indicus","3/18/10","2:33"
"PU68B","Tapirus indicus","3/19/10","21:24"
"PU69B","Tapirus indicus","1/19/10","18:17"
"PU69B","Tapirus indicus","1/20/10","19:50"
"PU69B","Tapirus indicus","1/22/10","21:33"
"PU69B","Tapirus indicus","2/18/10","7:36"
"PU69B","Tapirus indicus","3/6/10","0:45"
"PU69D","Tapirus indicus","9/24/09","5:39"
"PU69D","Tapirus indicus","10/12/09","5:23"
"PU69D","Tapirus indicus","12/16/09","4:45"
"PU69D","Tapirus indicus","12/29/09","3:11"
"PU69D","Tapirus indicus","1/3/10","20:24"
"PU70A","Tapirus indicus","10/12/09","18:36"
"PU70A","Tapirus indicus","12/28/09","23:34"
"PU70D","Tapirus indicus","3/18/10","20:23"
"TU16C","Tapirus indicus","9/28/09","6:16"
"TU16C","Tapirus indicus","12/8/09","20:28"
"TU16C","Tapirus indicus","12/13/09","21:24"
"TU29B","Tapirus indicus","4/15/10","3:15"
"TU29B","Tapirus indicus","4/24/10","21:36"
"TU34B","Tapirus indicus","5/11/10","21:03"
"TU45D","Tapirus indicus","10/21/09","2:37"
"TU63D","Tapirus indicus","10/13/09","18:58"
"TU63D","Tapirus indicus","11/28/09","1:15"
"TU63D","Tapirus indicus","12/7/09","16:10"
"TU63D","Tapirus indicus","12/28/09","5:13"
"TU63D","Tapirus indicus","12/30/09","20:33"
"TU63D","Tapirus indicus","1/14/10","6:37"
"TU63D","Tapirus indicus","1/16/10","2:44"
"TU63D","Tapirus indicus","3/3/10","3:29"
"TU63D","Tapirus indicus","3/14/10","21:47"
"TU69D","Tapirus indicus","12/16/09","5:15"
"TU69D","Tapirus indicus","12/29/09","2:53"
"TU69D","Tapirus indicus","1/3/10","20:41"
"TU69D","Tapirus indicus","1/17/10","22:48"
"TU69D","Tapirus indicus","3/11/10","17:08"
"TU69D","Tapirus indicus","3/16/10","18:05"
"TU69D","Tapirus indicus","3/31/10","18:40"
"TU72B","Tapirus indicus","3/5/10","19:41"
"TU72B","Tapirus indicus","3/29/10","6:45"
"TU74B","Tapirus indicus","10/20/09","0:11"
"TU74B","Tapirus indicus","10/23/09","19:53"
"TU74B","Tapirus indicus","10/28/09","4:21"
"TU74B","Tapirus indicus","11/30/09","23:30"
"TU74B","Tapirus indicus","1/16/10","21:58"
"TU74B","Tapirus indicus","4/12/10","4:26"
"TU74B","Tapirus indicus","4/15/10","6:46"
"TU74B","Tapirus indicus","5/10/10","4:24"
"TU74B","Tapirus indicus","5/16/10","23:50"
"TU75B","Tapirus indicus","1/13/10","23:23"
"TU75B","Tapirus indicus","5/14/10","0:18"
"TU77B","Tapirus indicus","1/26/10","1:02"
"TU77B","Tapirus indicus","2/22/10","3:17"
"TU77B","Tapirus indicus","3/6/10","1:48"
"TU78A","Tapirus indicus","5/13/10","4:14"
"TU79B","Tapirus indicus","11/25/09","21:10"
"TU79B","Tapirus indicus","4/10/10","21:53"
"TU79B","Tapirus indicus","5/10/10","21:26"
"TU80C","Tapirus indicus","10/24/09","21:50"
"TU80C","Tapirus indicus","10/27/09","2:22"
"TU80C","Tapirus indicus","1/19/10","8:06"
"TU80C","Tapirus indicus","2/19/10","23:54"
"TU80C","Tapirus indicus","3/7/10","22:14"
"TU80C","Tapirus indicus","3/10/10","0:10"
"TU80C","Tapirus indicus","4/11/10","8:16"
"TU81A","Tapirus indicus","3/18/10","5:56"
"PB030D","Tapirus indicus","1/16/11","3:19"
"PB030D","Tapirus indicus","3/4/11","23:31"
"PB031C","Tapirus indicus","1/12/11","23:00"
"PB031C","Tapirus indicus","1/19/11","21:34"
"PB031C","Tapirus indicus","2/2/11","3:04"
"PB031C","Tapirus indicus","2/9/11","4:01"
"PB031C","Tapirus indicus","2/11/11","21:04"
"PB031C","Tapirus indicus","2/13/11","4:49"
"PB031C","Tapirus indicus","2/16/11","0:57"
"PB031C","Tapirus indicus","3/11/11","5:05"
"PB031C","Tapirus indicus","3/17/11","21:18"
"PB032D","Tapirus indicus","9/29/10","23:49"
"PB032D","Tapirus indicus","10/11/10","21:00"
"PB032D","Tapirus indicus","10/23/10","20:41"
"PB033B","Tapirus indicus","12/27/10","21:46"
"PB033D","Tapirus indicus","10/25/10","6:13"
"PB034C","Tapirus indicus","10/10/10","17:21"
"PB035B","Tapirus indicus","10/6/10","9:36"
"PB035B","Tapirus indicus","10/10/10","1:05"
"PB035B","Tapirus indicus","10/13/10","6:47"
"PB035B","Tapirus indicus","10/18/10","0:34"
"PB035C","Tapirus indicus","1/10/11","6:43"
"PB035C","Tapirus indicus","2/15/11","22:57"
"PB035C","Tapirus indicus","2/22/11","18:47"
"PB035C","Tapirus indicus","2/24/11","4:47"
"PB035C","Tapirus indicus","3/15/11","20:12"
"PB035C","Tapirus indicus","3/16/11","23:54"
"PB041A","Tapirus indicus","2/15/11","8:42"
"PB043B","Tapirus indicus","1/12/11","4:01"
"PB043B","Tapirus indicus","1/20/11","21:38"
"PB043B","Tapirus indicus","1/21/11","22:34"
"PB043B","Tapirus indicus","2/2/11","23:18"
"PB043B","Tapirus indicus","2/6/11","21:41"
"PB043B","Tapirus indicus","2/9/11","6:47"
"PB043B","Tapirus indicus","2/13/11","6:36"
"PB043B","Tapirus indicus","2/15/11","0:53"
"PB043B","Tapirus indicus","2/22/11","1:37"
"PB043B","Tapirus indicus","2/25/11","21:35"
"PB043B","Tapirus indicus","2/27/11","2:02"
"PB047A","Tapirus indicus","10/12/10","21:34"
"PB052A","Tapirus indicus","1/20/11","21:48"
"PB052D","Tapirus indicus","10/20/10","7:15"
"PB053D","Tapirus indicus","11/19/10","1:42"
"PB054A","Tapirus indicus","11/5/10","19:57"
"PB054A","Tapirus indicus","11/13/10","22:05"
"PB054C","Tapirus indicus","1/9/11","3:02"
"PB054C","Tapirus indicus","1/12/11","3:50"
"PB054C","Tapirus indicus","2/6/11","20:18"
"PB054C","Tapirus indicus","2/26/11","2:06"
"PB054C","Tapirus indicus","3/8/11","19:50"
"PB054C","Tapirus indicus","3/16/11","23:15"
"PB055A","Tapirus indicus","1/12/11","19:41"
"PB055A","Tapirus indicus","3/13/11","1:00"
"PB055C","Tapirus indicus","10/8/10","5:44"
"PB056B","Tapirus indicus","10/15/10","21:19"
"PB056D","Tapirus indicus","2/15/11","7:12"
"PB057A","Tapirus indicus","10/4/10","21:51"
"PB057D","Tapirus indicus","2/10/11","2:57"
"PB057D","Tapirus indicus","2/21/11","20:59"
"PB058C","Tapirus indicus","10/14/10","19:56"
"PB059B","Tapirus indicus","10/15/10","7:37"
"PB059B","Tapirus indicus","11/21/10","5:06"
"PB059C","Tapirus indicus","1/13/11","22:43"
"PB059C","Tapirus indicus","2/19/11","1:17"
"PB064C","Tapirus indicus","2/8/11","8:01"
"PB065B","Tapirus indicus","10/21/10","3:37"
"PB065D","Tapirus indicus","3/4/11","21:15"
"PB066A","Tapirus indicus","10/13/10","22:07"
"PB066A","Tapirus indicus","11/3/10","1:35"
"PB066A","Tapirus indicus","11/6/10","22:42"
"PB066A","Tapirus indicus","12/7/10","0:46"
"PB066A","Tapirus indicus","12/28/10","2:11"
"PB066B","Tapirus indicus","1/21/11","1:49"
"PB067A","Tapirus indicus","1/18/11","22:48"
"PB067D","Tapirus indicus","11/7/10","1:26"
"PB067D","Tapirus indicus","11/19/10","23:03"
"PB067D","Tapirus indicus","12/3/10","0:57"
"PB068A","Tapirus indicus","10/27/10","18:12"
"PB068A","Tapirus indicus","11/25/10","22:44"
"PB070B","Tapirus indicus","12/16/10","19:51"
"PB071A","Tapirus indicus","12/27/10","23:38"
"PB071A","Tapirus indicus","1/16/11","6:25"
"PB071A","Tapirus indicus","2/18/11","23:57"
"PB071C","Tapirus indicus","11/7/10","3:07"
"PB071C","Tapirus indicus","12/12/10","23:09"
"PB071C","Tapirus indicus","12/22/10","20:09"
"PB075B","Tapirus indicus","10/18/10","4:56"
"PB075B","Tapirus indicus","10/20/10","23:19"
"PB075B","Tapirus indicus","10/25/10","20:21"
"PB075B","Tapirus indicus","10/27/10","21:04"
"PB075B","Tapirus indicus","11/7/10","0:29"
"PB075B","Tapirus indicus","11/10/10","2:58"
"PB075B","Tapirus indicus","11/20/10","3:28"
"PB075B","Tapirus indicus","11/21/10","21:51"
"PB075B","Tapirus indicus","11/23/10","2:10"
"PB075B","Tapirus indicus","11/26/10","2:34"
"PB075B","Tapirus indicus","11/30/10","20:41"
"PB075B","Tapirus indicus","12/2/10","20:28"
"PB075B","Tapirus indicus","12/3/10","22:44"
"PB075B","Tapirus indicus","12/10/10","0:08"
"PB075B","Tapirus indicus","12/11/10","22:16"
"PB075B","Tapirus indicus","12/15/10","0:23"
"PB075B","Tapirus indicus","12/17/10","3:41"
"PB075B","Tapirus indicus","12/18/10","23:58"
"PB075B","Tapirus indicus","12/21/10","20:15"
"PB075B","Tapirus indicus","1/2/11","2:54"
"PB075B","Tapirus indicus","1/9/11","23:50"
"PB077C","Tapirus indicus","2/8/11","7:28"
"PB078B","Tapirus indicus","2/5/11","4:34"
"PB079B","Tapirus indicus","2/15/11","20:04"
"PB079B","Tapirus indicus","2/25/11","22:53"
"PB080A","Tapirus indicus","3/20/11","1:58"
"PB080C","Tapirus indicus","11/9/10","20:10"
"PB081C","Tapirus indicus","10/17/10","19:32"
"PB081C","Tapirus indicus","11/12/10","2:52"
"PB081C","Tapirus indicus","12/11/10","23:40"
"PB083C","Tapirus indicus","11/3/10","5:31"
"PB090A","Tapirus indicus","1/9/11","21:02"
"PB090D","Tapirus indicus","4/12/11","22:06"
"PB093A","Tapirus indicus","1/19/11","7:26"
"PB093A","Tapirus indicus","2/11/11","8:06"
"PB093A","Tapirus indicus","2/20/11","7:24"
"PB093A","Tapirus indicus","3/7/11","4:37"
"PB093B","Tapirus indicus","12/4/10","2:04"
"PB094A","Tapirus indicus","4/10/11","6:42"
"PB095A","Tapirus indicus","10/24/10","7:31"
"PB095A","Tapirus indicus","11/23/10","19:56"
"PB095D","Tapirus indicus","4/14/11","23:38"
"PB101A","Tapirus indicus","10/28/10","6:11"
"PB101B","Tapirus indicus","4/13/11","6:33"
"PB104C","Tapirus indicus","10/30/10","15:06"
"PB105A","Tapirus indicus","11/27/10","15:31"
"PB105B","Tapirus indicus","2/15/11","19:57"
"PB107A","Tapirus indicus","2/12/11","7:06"
"PB118C","Tapirus indicus","1/19/11","0:48"
"PB119A","Tapirus indicus","2/19/11","5:37"
"TB006C","Tapirus indicus","11/21/10","23:08"
"TB009C","Tapirus indicus","10/27/10","1:36"
"TB009C","Tapirus indicus","11/14/10","16:31"
"TB009C","Tapirus indicus","11/23/10","23:36"
"TB009C","Tapirus indicus","12/12/10","4:28"
"TB009C","Tapirus indicus","12/19/10","15:20"
"TB009C","Tapirus indicus","2/27/11","4:41"
"TB010C","Tapirus indicus","11/29/10","19:00"
"TB010C","Tapirus indicus","12/6/10","6:50"
"TB010C","Tapirus indicus","12/11/10","6:20"
"TB010C","Tapirus indicus","1/8/11","17:50"
"TB010C","Tapirus indicus","2/3/11","1:22"
"TB013B","Tapirus indicus","12/28/10","3:38"
"TB021C","Tapirus indicus","10/20/10","23:41"
"TB021C","Tapirus indicus","3/4/11","2:18"
"TB029D","Tapirus indicus","9/30/10","21:31"
"TB029D","Tapirus indicus","10/12/10","20:01"
"TB040C","Tapirus indicus","9/2/10","21:20"
"TB040C","Tapirus indicus","9/13/10","22:11"
"TB040C","Tapirus indicus","9/16/10","5:32"
"TB040C","Tapirus indicus","1/16/11","20:34"
"TB042A","Tapirus indicus","9/18/10","3:39"
"TB045B","Tapirus indicus","8/27/10","0:36"
"TB045B","Tapirus indicus","9/22/10","6:46"
"TB047D","Tapirus indicus","11/20/10","0:46"
"TB058D","Tapirus indicus","10/19/10","21:08"
"TB058D","Tapirus indicus","2/20/11","21:40"
"TB058D","Tapirus indicus","3/5/11","4:38"
"TB060D","Tapirus indicus","10/12/10","23:29"
"TB060D","Tapirus indicus","10/15/10","23:53"
"TB060D","Tapirus indicus","10/18/10","23:41"
"TB060D","Tapirus indicus","10/20/10","6:45"
"TB060D","Tapirus indicus","10/24/10","7:32"
"TB060D","Tapirus indicus","10/30/10","23:29"
"TB060D","Tapirus indicus","1/12/11","7:57"
"TB060D","Tapirus indicus","3/17/11","22:40"
"TB062A","Tapirus indicus","8/30/10","7:33"
"TB062A","Tapirus indicus","10/10/10","22:32"
"TB062A","Tapirus indicus","10/26/10","2:16"
"TB062A","Tapirus indicus","11/26/10","5:36"
"TB065A","Tapirus indicus","9/13/10","2:46"
"TB065A","Tapirus indicus","1/16/11","21:16"
"TB065A","Tapirus indicus","2/7/11","20:16"
"TB065A","Tapirus indicus","3/16/11","0:27"
"TB067C","Tapirus indicus","8/23/10","1:42"
"TB067C","Tapirus indicus","9/23/10","23:22"
"TB067C","Tapirus indicus","10/16/10","21:26"
"TB067C","Tapirus indicus","11/6/10","23:55"
"TB067C","Tapirus indicus","11/20/10","5:54"
"TB067C","Tapirus indicus","1/22/11","22:02"
"TB067C","Tapirus indicus","2/18/11","2:53"
"TB067C","Tapirus indicus","3/1/11","7:37"
"TB067C","Tapirus indicus","3/5/11","23:14"
"TB067C","Tapirus indicus","3/12/11","2:27"
"TB068B","Tapirus indicus","10/7/10","20:23"
"TB073D","Tapirus indicus","4/11/11","0:10"
"TB073D","Tapirus indicus","4/13/11","1:26"
"TB075D","Tapirus indicus","8/22/10","4:53"
"TB075D","Tapirus indicus","8/25/10","2:23"
"TB075D","Tapirus indicus","8/30/10","0:40"
"TB075D","Tapirus indicus","9/4/10","22:56"
"TB075D","Tapirus indicus","9/15/10","0:05"
"TB075D","Tapirus indicus","11/26/10","20:59"
"TB075D","Tapirus indicus","1/2/11","2:09"
"TB075D","Tapirus indicus","1/19/11","1:14"
"TB075D","Tapirus indicus","2/6/11","21:07"
"TB075D","Tapirus indicus","2/8/11","21:11"
"TB075D","Tapirus indicus","2/15/11","3:21"
"TB075D","Tapirus indicus","2/19/11","21:11"
"TB075D","Tapirus indicus","3/2/11","0:18"
"TB075D","Tapirus indicus","3/30/11","4:03"
"TB075D","Tapirus indicus","4/8/11","4:42"
"TB082D","Tapirus indicus","10/31/10","5:31"
"TB082D","Tapirus indicus","11/1/10","18:55"
"TB082D","Tapirus indicus","11/15/10","20:35"
"TB082D","Tapirus indicus","3/8/11","20:27"
"TB096A","Tapirus indicus","8/22/10","2:21"
"TB096A","Tapirus indicus","9/28/10","1:56"
"TB096A","Tapirus indicus","10/13/10","2:03"
"TB104B","Tapirus indicus","8/25/10","4:16"
"TB104B","Tapirus indicus","9/5/10","6:15"
"TB104B","Tapirus indicus","10/30/10","4:27"
"TB104B","Tapirus indicus","11/27/10","19:48"
"TB104B","Tapirus indicus","2/6/11","3:46"
"TB119B","Tapirus indicus","8/20/10","1:32"
"TB119B","Tapirus indicus","10/2/10","18:44"
"TB119B","Tapirus indicus","10/4/10","19:45"
"TB125C","Tapirus indicus","4/6/11","6:41"
"TB128C","Tapirus indicus","4/2/11","1:19"
"TB129B","Tapirus indicus","11/7/10","0:28"
"TB129B","Tapirus indicus","11/9/10","19:49"
"TB129B","Tapirus indicus","1/18/11","1:57"
