"species","lat","lon","hour","date","datetime"
"Tapirus indicus",5.3196321,101.4844926,"6:33",9-12-03,2009-12-03 06:33:00
"Tapirus indicus",5.2851361,101.4328547,"19:57",9-12-04,2009-12-04 19:57:00
"Tapirus indicus",5.2859964,101.4879928,"5:10",9-12-05,2009-12-05 05:10:00
"Tapirus indicus",5.2859964,101.4879928,"19:12",9-12-05,2009-12-05 19:12:00
"Tapirus indicus",5.3196321,101.4844926,"20:30",9-12-05,2009-12-05 20:30:00
"Tapirus indicus",5.3196321,101.4844926,"4:05",9-12-06,2009-12-06 04:05:00
"Tapirus indicus",5.4405408,101.5364893,"5:02",9-12-07,2009-12-07 05:02:00
"Tapirus indicus",5.4405408,101.5364893,"8:51",9-12-07,2009-12-07 08:51:00
"Tapirus indicus",5.2709458,101.4986553,"16:10",9-12-07,2009-12-07 16:10:00
"Tapirus indicus",5.4405408,101.5364893,"20:06",9-12-07,2009-12-07 20:06:00
"Tapirus indicus",5.2756659,101.5141953,"8:19",9-12-08,2009-12-08 08:19:00
"Tapirus indicus",5.2859964,101.4879928,"19:54",9-12-08,2009-12-08 19:54:00
"Tapirus indicus",5.4369326,101.4626992,"20:28",9-12-08,2009-12-08 20:28:00
"Tapirus indicus",5.4218157,101.5577397,"21:00",9-12-08,2009-12-08 21:00:00
"Tapirus indicus",5.3937242,101.4335148,"19:59",9-12-09,2009-12-09 19:59:00
"Tapirus indicus",5.4258658,101.4597997,"6:01",9-12-10,2009-12-10 06:01:00
"Tapirus indicus",5.2642079,101.5044401,"7:49",9-12-10,2009-12-10 07:49:00
"Tapirus indicus",5.4440777,101.5050598,"18:52",9-12-10,2009-12-10 18:52:00
"Tapirus indicus",5.2938275,101.4871077,"7:06",9-12-11,2009-12-11 07:06:00
"Tapirus indicus",5.4405408,101.5364893,"8:32",9-12-11,2009-12-11 08:32:00
"Tapirus indicus",5.4440777,101.5050598,"19:13",9-12-13,2009-12-13 19:13:00
"Tapirus indicus",5.4369326,101.4626992,"21:24",9-12-13,2009-12-13 21:24:00
"Tapirus indicus",5.2642079,101.5044401,"21:07",9-12-14,2009-12-14 21:07:00
"Tapirus indicus",5.2859964,101.4879928,"0:29",9-12-16,2009-12-16 00:29:00
"Tapirus indicus",5.2395611,101.4940545,"4:45",9-12-16,2009-12-16 04:45:00
"Tapirus indicus",5.2363296,101.4974904,"5:15",9-12-16,2009-12-16 05:15:00
"Tapirus indicus",5.4440777,101.5050598,"9:38",9-12-17,2009-12-17 09:38:00
"Tapirus indicus",5.4440777,101.5050598,"23:36",9-12-19,2009-12-19 23:36:00
"Tapirus indicus",5.2672933,101.4775336,"20:43",9-12-26,2009-12-26 20:43:00
"Tapirus indicus",5.2851361,101.4328547,"5:11",9-12-27,2009-12-27 05:11:00
"Tapirus indicus",5.2672933,101.4775336,"9:30",9-12-27,2009-12-27 09:30:00
"Tapirus indicus",5.2709458,101.4986553,"5:13",9-12-28,2009-12-28 05:13:00
"Tapirus indicus",5.2447071,101.502795,"23:34",9-12-28,2009-12-28 23:34:00
"Tapirus indicus",5.2666182,101.4583964,"0:00",9-12-29,2009-12-29
"Tapirus indicus",5.2363296,101.4974904,"2:53",9-12-29,2009-12-29 02:53:00
"Tapirus indicus",5.2395611,101.4940545,"3:11",9-12-29,2009-12-29 03:11:00
"Tapirus indicus",5.2938275,101.4871077,"19:13",9-12-29,2009-12-29 19:13:00
"Tapirus indicus",5.2709458,101.4986553,"20:33",9-12-30,2009-12-30 20:33:00
"Tapirus indicus",5.3937242,101.4335148,"23:08",9-12-31,2009-12-31 23:08:00
"Tapirus indicus",5.2672933,101.4775336,"0:05",10-01-01,2010-01-01 00:05:00
"Tapirus indicus",5.2666182,101.4583964,"5:15",10-01-01,2010-01-01 05:15:00
"Tapirus indicus",5.2756659,101.5141953,"8:27",10-01-01,2010-01-01 08:27:00
"Tapirus indicus",5.3885556,101.4655582,"21:25",10-01-01,2010-01-01 21:25:00
"Tapirus indicus",5.2672933,101.4775336,"1:31",10-01-03,2010-01-03 01:31:00
"Tapirus indicus",5.2395611,101.4940545,"20:24",10-01-03,2010-01-03 20:24:00
