,X,Y,Camr_Nm,Precip,Elev,HFI,d.Road
160,101.4191379,5.297636314,TU79B,206,410,0,2337.656935
161,101.4993116,5.292587907,TU80C,252.33333,1432,1,8726.358988
162,101.4999637,5.317190436,TU81A,244.25,948,0,7172.944008
163,101.4174577,5.414014244,TU82D,191.08333,346,0,1764.404173
164,101.446571,5.824795476,PB015A,186.33333,337,1,14436.89262
165,101.4656358,5.827572536,PB016A,190.66667,492,1,14931.03515
166,101.4723952,5.82282567,PB016B,188.5,442,1,14554.87671
167,101.445118,5.802552118,PB027C,190.41667,519,0,11975.17654
168,101.4603451,5.801863476,PB027D,187,391,0,12031.68503
169,101.4679316,5.801496322,PB028C,188.25,448,0,12145.0381
170,101.4723233,5.800468804,PB028D,188.25,461,0,12149.49402
171,101.4901744,5.807501367,PB029B,187.66667,327,0,13516.45908
172,101.4871884,5.796793942,PB029C,192.16667,475,0,12295.78037
173,101.5093417,5.805728252,PB030B,188.66667,387,0,14280.59927
174,101.5148764,5.8027863,PB030D,188.66667,321,0,14326.1679
175,101.5262825,5.80903106,PB031B,190,333,7,15609.50612
176,101.5190147,5.795381775,PB031C,191,339,0,13915.47606
177,101.5468023,5.811303089,PB032B,194.41667,520,0,17221.28465
178,101.5481308,5.800960512,PB032D,202.75,809,0,16481.57696
179,101.5659291,5.804391142,PB033B,208,845,0,16198.99972
180,101.5646104,5.801140841,PB033D,208,843,0,16343.24644
181,101.5756796,5.801785573,PB034C,201.75,667,0,15117.01803
182,101.5823724,5.797878433,PB034D,209.5,650,0,14383.07687
183,101.5979406,5.80802171,PB035B,205.66667,699,0,12668.8927
184,101.5943438,5.798823676,PB035C,205.58333,677,0,13054.68621
185,101.449746,5.78533669,PB039A,197.33333,612,0,10089.48282
186,101.4601946,5.788215667,PB039B,199.75,636,0,10538.69553
187,101.4679328,5.791602213,PB040A,199.91667,583,0,11079.30784
188,101.4723645,5.776466194,PB040D,205.75,782,0,9609.228393
189,101.487643,5.792490303,PB041A,192.16667,514,0,11878.66097
190,101.4842058,5.778570947,PB041C,205.58333,831,0,10320.69132
191,101.5071022,5.789506228,PB042B,200.16667,602,0,12625.9702
192,101.5007994,5.779766328,PB042C,200.75,688,0,11342.50292
193,101.5298086,5.791061495,PB043B,194.66667,371,0,14297.552
194,101.5255917,5.777890941,PB043D,199,665,0,12912.26043
195,101.5456771,5.78673682,PB044B,203.58333,616,0,15192.79576
196,101.5363765,5.783328929,PB044C,197.5,440,0,14183.32671
197,101.5611488,5.778829284,PB045D,218.83333,963,0,15973.48185
198,101.5717816,5.78380496,PB046C,218.33333,947,0,15667.99053
199,101.5928594,5.793284917,PB047A,205.58333,665,0,13249.58657
200,101.6040678,5.789018707,PB047B,208.83333,737,0,12050.64969
201,101.4656453,5.767303488,PB052A,205.75,842,0,8417.769977
202,101.476018,5.758650887,PB052D,207.83333,753,0,7942.779995
203,101.4855018,5.767278682,PB053A,208.91667,875,0,9278.167525
204,101.4918501,5.760739743,PB053D,217.41667,958,0,9047.30088
205,101.5019685,5.771792831,PB054A,205.33333,755,0,10695.60358
206,101.4973955,5.766760579,PB054C,206.83333,856,0,9946.959799
207,101.5192521,5.768322969,PB055A,210.91667,917,0,11666.82684
208,101.5169369,5.759860432,PB055C,218.66667,974,0,10838.2358
209,101.5437763,5.768526224,PB056B,204.75,643,0,13747.98583
210,101.5487659,5.759966213,PB056D,209.58333,806,0,13669.34986
211,101.5574206,5.768364432,PB057A,216.25,996,0,14977.49686
212,101.5635372,5.763732428,PB057D,215.66667,779,0,15285.34759
213,101.5779736,5.767822947,PB058A,217.66667,895,0,15181.99467
214,101.5732751,5.765603631,PB058C,219,1009,0,15734.46639
215,101.5983608,5.768501247,PB059B,212.66667,779,0,12941.46362
216,101.5906586,5.758261243,PB059C,218.41667,1013,0,14010.3218
217,101.4763071,5.749065056,PB064B,209.16667,813,0,7024.46812
218,101.4679692,5.747196247,PB064C,204.41667,745,0,6416.537649
219,101.4927401,5.7493016,PB065B,213.75,850,0,8118.34484
220,101.4914223,5.745924464,PB065D,208.75,770,0,7743.001231
221,101.5049923,5.752799913,PB066A,221.25,1035,0,9337.635651
222,101.5089678,5.751915687,PB066B,220,1017,0,9594.596617
223,101.5155558,5.756428925,PB067A,220,888,0,10472.15988
224,101.5271569,5.744034705,PB067D,227.08333,1180,0,10707.82418
225,101.53649,5.755112167,PB068A,220.33333,966,0,12235.21169
226,101.5336458,5.748484164,PB068C,225.41667,1048,0,11577.37634
227,101.5574574,5.754762478,PB069A,209.16667,763,0,14214.18657
228,101.5679705,5.757115212,PB069B,210.5,865,0,15367.38318
229,101.584974,5.753353353,PB070B,218.41667,868,0,14756.55103
230,101.5785763,5.748407312,PB070C,209.83333,763,0,15059.92107
231,101.5929792,5.754830734,PB071A,216.66667,941,0,13858.45755
232,101.5948464,5.748731067,PB071C,220.33333,974,0,13653.19937
233,101.4562691,5.730756708,PB075B,188.75,313,0,4249.731592
234,101.4454044,5.725389251,PB075C,190.58333,421,7,3444.122214
235,101.4679586,5.738260711,PB076A,199.66667,619,0,5529.44077
236,101.4745648,5.726712282,PB076D,195,571,0,4915.395384
237,101.4913796,5.735442332,PB077B,204,689,0,6928.571919
238,101.479632,5.726066518,PB077C,202.33333,595,0,5266.913579
239,101.5082638,5.735634532,PB078B,211.83333,890,0,8439.834001
240,101.5243159,5.739568158,PB079A,222.16667,1078,0,10187.40984
241,101.5258224,5.736822962,PB079B,226.25,1054,0,10189.33158
242,101.5382252,5.734740896,PB080A,223.58333,988,0,11332.63711
243,101.538578,5.727931753,PB080C,216.83333,850,0,11091.84975
244,101.5653582,5.731323918,PB081B,202.91667,608,0,13860.45566
245,101.5521683,5.730682154,PB081C,205.66667,662,0,12610.24814
246,101.5721743,5.731667896,PB082A,201.5,461,0,13976.7415
247,101.5845556,5.734142975,PB082B,218.66667,858,0,13636.79216
248,101.5973478,5.734954803,PB083B,219.5,942,0,12503.33488
249,101.5952711,5.728121141,PB083C,217.66667,886,0,12277.01329
250,101.4491108,5.714474765,PB087A,190.25,393,0,2299.049961
251,101.450459,5.710336484,PB087C,188.25,357,0,1906.13537
252,101.4663383,5.717554234,PB088A,189.58333,410,0,3553.417688
253,101.4709737,5.716328487,PB088B,187.66667,372,0,3837.326808
254,101.4813723,5.717343971,PB089A,195.33333,420,0,4841.057636
255,101.4898887,5.719791948,PB089B,193.08333,345,0,5791.582989
256,101.5038557,5.716892022,PB090A,202.66667,638,0,7062.366133
257,101.5124637,5.712466477,PB090D,195,466,0,7803.19139
258,101.5244538,5.719083901,PB091A,209.08333,827,0,9290.083333
259,101.520838,5.710834767,PB091C,206.08333,663,0,8652.402428
260,101.5412122,5.708973753,PB092C,197.83333,552,0,10822.24582
261,101.5516892,5.717630402,PB093A,207.75,770,0,12150.89408
262,101.5631068,5.71911753,PB093B,201.25,530,0,12495.99025
263,101.5739276,5.717564066,PB094A,201.66667,686,0,12461.99918
264,101.5862829,5.709367216,PB094D,213.66667,798,0,11655.79678
265,101.596237,5.7213679,PB095A,216.66667,895,0,11804.15809
266,101.5991171,5.711183038,PB095D,214.91667,791,0,10957.32522
267,101.4664775,5.697323048,PB100A,187.83333,378,0,2448.528435
268,101.473872,5.697344244,PB100B,191,459,0,3252.783129
269,101.4880029,5.697004645,PB101A,196.66667,596,0,4798.845706
270,101.4909314,5.699047859,PB101B,196.66667,537,0,5149.053868
271,101.4978772,5.69809073,PB102A,192.08333,306,0,5899.222021
272,101.5105391,5.68708353,PB102D,190.58333,324,0,7284.797158
273,101.5321318,5.698186366,PB103B,192.75,327,0,9679.627356
274,101.5249458,5.691356312,PB103D,192.16667,329,0,8860.225223
275,101.5411028,5.686300126,PB104C,207.91667,742,0,8658.395244
276,101.5463041,5.685952647,PB104D,203.33333,636,0,8694.610879
